"","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","evenness","celaantal"
"166",1e+08,1e+06,10000,1e+08,10000,10000,1e+08,10000,10000,1e+06,1e+08,10000,10000,1e+08,10000,1e+06,0.593129984410108,503080000
"167",1e+06,10000,1e+06,1e+06,10000,1e+06,10000,1e+08,1e+06,1e+06,1e+06,10000,1e+06,1e+06,1e+08,10000,0.338264200904051,209050000
"168",1e+08,10000,1e+08,10000,1e+06,10000,10000,1e+06,1e+06,1e+08,1e+08,1e+06,1e+08,1e+08,10000,10000,0.660001593527544,604060000
"169",1e+08,10000,10000,1e+06,1e+06,1e+08,1e+08,10000,1e+08,1e+06,1e+08,10000,1e+06,1e+06,10000,10000,0.600951569323935,505060000
"170",10000,10000,10000,1e+08,1e+08,1e+06,1e+08,10000,1e+08,1e+06,10000,1e+06,1e+06,10000,10000,1e+06,0.525619056871446,405070000
"171",1e+06,1e+08,1e+06,1e+06,1e+06,1e+06,10000,1e+06,1e+08,10000,1e+08,10000,1e+06,10000,1e+08,1e+08,0.608717588935991,507040000
"172",1e+08,1e+06,1e+06,1e+08,1e+08,1e+08,1e+08,1e+06,10000,1e+08,1e+06,1e+06,1e+08,1e+08,1e+08,1e+06,0.80591804945557,906010000
"173",1e+06,1e+08,1e+08,1e+08,1e+06,10000,10000,10000,1e+06,1e+08,10000,1e+06,1e+06,1e+06,1e+06,1e+06,0.540068023665638,408040000
"174",1e+06,1e+08,1e+06,1e+06,10000,10000,1e+08,1e+06,1e+08,1e+06,10000,1e+08,1e+06,10000,1e+06,10000,0.535272994059648,407050000
"175",1e+06,1e+08,1e+08,1e+06,10000,10000,1e+08,10000,1e+06,1e+08,1e+08,1e+06,1e+06,1e+08,10000,1e+08,0.716393963590229,705040000
"176",1e+06,1e+06,10000,1e+06,1e+08,10000,1e+06,1e+08,1e+06,10000,1e+06,1e+06,10000,10000,1e+06,10000,0.329072689799807,208060000
"177",10000,1e+08,1e+06,10000,1e+08,1e+08,1e+06,1e+06,1e+08,10000,1e+08,1e+06,1e+08,1e+06,1e+06,1e+06,0.669759625974003,607030000
"178",1e+08,1e+06,1e+08,10000,1e+08,10000,10000,1e+08,1e+08,10000,10000,1e+08,1e+06,10000,10000,1e+06,0.656729496282341,603070000
"179",10000,10000,1e+06,1e+06,10000,1e+08,1e+08,1e+08,1e+08,1e+08,10000,1e+08,10000,1e+08,10000,1e+06,0.710782886512574,703060000
"180",1e+08,1e+08,1e+08,1e+08,1e+06,1e+08,10000,10000,1e+08,1e+06,1e+06,10000,10000,10000,1e+08,10000,0.710782886512574,703060000
"181",1e+06,1e+06,10000,1e+08,10000,1e+08,10000,1e+06,1e+06,10000,1e+06,10000,1e+08,10000,1e+08,10000,0.525619056871446,405070000
"182",1e+06,1e+08,1e+08,1e+08,1e+08,1e+08,1e+06,1e+06,1e+06,10000,1e+08,1e+06,1e+06,1e+06,1e+08,1e+08,0.767594993462198,807010000
"183",1e+06,1e+08,10000,10000,1e+06,1e+08,1e+08,1e+08,1e+08,10000,1e+08,1e+08,1e+06,10000,1e+06,1e+06,0.716393963590229,705040000
"184",10000,1e+08,1e+08,10000,1e+06,10000,1e+06,1e+08,10000,10000,10000,1e+06,1e+06,10000,10000,1e+08,0.520759846791132,404080000
"185",1e+08,10000,1e+08,1e+08,10000,1e+06,1e+08,1e+06,1e+08,1e+06,1e+08,1e+08,10000,10000,1e+06,10000,0.713592013487095,704050000
"186",10000,10000,1e+08,10000,1e+08,1e+08,1e+06,1e+06,1e+08,10000,1e+06,10000,1e+08,10000,10000,1e+06,0.597047762091655,504070000
"187",10000,1e+08,1e+06,10000,1e+08,10000,10000,1e+06,1e+06,1e+08,10000,10000,1e+08,1e+06,1e+08,10000,0.597047762091655,504070000
"188",10000,1e+06,1e+08,1e+06,10000,1e+08,10000,1e+06,1e+06,1e+08,1e+08,1e+08,10000,1e+06,1e+08,1e+08,0.716393963590229,705040000
"189",10000,1e+06,1e+08,1e+06,1e+08,10000,10000,10000,1e+06,1e+08,10000,10000,1e+06,1e+06,1e+08,1e+06,0.53045672196968,406060000
"190",1e+08,1e+08,1e+06,1e+08,10000,1e+06,1e+06,10000,1e+08,1e+06,10000,1e+08,10000,1e+08,10000,1e+06,0.663263950170227,605050000
"191",1e+08,10000,10000,1e+08,1e+08,1e+06,10000,1e+06,1e+06,1e+08,1e+08,1e+06,1e+06,10000,1e+06,1e+06,0.608717588935991,507040000
"192",1e+06,1e+08,1e+06,1e+08,10000,1e+06,10000,10000,1e+06,1e+06,1e+08,1e+08,1e+06,10000,1e+06,1e+06,0.540068023665638,408040000
"193",1e+06,10000,10000,1e+08,1e+06,10000,1e+06,1e+06,1e+06,10000,10000,1e+06,1e+08,1e+06,10000,1e+06,0.329072689799807,208060000
"194",1e+06,1e+08,10000,10000,1e+08,1e+08,10000,1e+08,10000,1e+06,1e+08,1e+06,1e+06,1e+08,10000,10000,0.660001593527544,604060000
"195",1e+06,1e+06,1e+08,1e+06,1e+08,1e+08,10000,1e+06,1e+08,10000,1e+06,10000,1e+08,1e+06,1e+08,10000,0.666516612365869,606040000
"196",10000,10000,1e+06,1e+06,1e+08,1e+06,1e+06,1e+08,10000,10000,1e+06,1e+06,1e+08,10000,1e+06,1e+08,0.535272994059648,407050000
"197",1e+06,1e+08,1e+06,1e+08,1e+08,10000,1e+08,10000,10000,10000,1e+08,1e+06,1e+08,10000,1e+08,1e+06,0.713592013487095,704050000
"198",1e+06,1e+06,10000,1e+08,1e+06,1e+08,1e+06,1e+06,1e+06,1e+08,1e+08,1e+06,1e+08,1e+06,1e+06,1e+06,0.620263802228765,510010000
"199",1e+08,1e+08,10000,10000,1e+06,1e+08,1e+06,1e+06,1e+08,1e+08,10000,1e+08,1e+06,1e+08,1e+06,10000,0.716393963590229,705040000
"200",1e+08,10000,10000,1e+06,1e+08,10000,1e+06,1e+08,1e+08,1e+06,1e+08,1e+06,10000,1e+08,1e+06,10000,0.663263950170227,605050000
